YEAR,MONTH,DATE,INCOME,CATEGORY,CATEGORY_COUNT,CAT_TOT,CAT_INCM_PCENT,CAT_NEW,CAT_NEW_TOT,CAT_NEW_INCM_PCENT,CAT_OLD_BENCHMARK
2019,10,25/10/2019,9290.04,"Hotels, motels & resorts",1,1488.45,16.02199775,Desire,5934.68,63.88217919,5
2019,3,2/03/2019,33860.19,"Hotels, motels & resorts",1,365.41,1.079172917,Desire,2172.84,6.417093348,5
2019,2,15/02/2019,8229.01,"Hotels, motels & resorts",1,19.75,0.240004569,Desire,1178.83,14.32529551,5
2019,1,16/01/2019,14402.89,"Hotels, motels & resorts",1,1078.85,7.490510585,Desire,9676.3,67.18304451,5
2018,8,14/08/2018,7667.51,"Hotels, motels & resorts",2,457.33,5.964517816,Desire,5947.96,77.57355387,5
2020,7,1/07/2020,13218.79,Insurance,3,404.95,3.063442267,Need,9364.7,70.84385182,1
2020,6,1/06/2020,8068.83,Insurance,5,572.2,7.091486622,Need,7149.73,88.60925314,1
2020,5,1/05/2020,10760.91,Insurance,3,431.73,4.012021288,Need,7574.92,70.39293145,1
2020,4,2/04/2020,24528.98,Insurance,4,508.69,2.073832667,Need,17859.83,72.81114013,1
2020,3,2/03/2020,44410.36,Insurance,7,1197.96,2.697478696,Need,44781.45,100.8355933,1
2020,2,3/02/2020,8157.21,Insurance,4,509.22,6.242575587,Need,5731.9,70.26789797,1
2020,1,2/01/2020,11570.92,Insurance,5,580.4,5.016022926,Need,1541.44,13.32167192,1
2019,12,2/12/2019,9217.77,Insurance,6,657.36,7.131442854,Need,6569.77,71.27287836,1
2019,11,1/11/2019,15395.47,Insurance,4,503.44,3.270052814,Need,9513.56,61.79454086,1
2019,10,1/10/2019,9290.04,Insurance,5,580.4,6.247551141,Need,5691.75,61.26722813,1
2019,9,2/09/2019,11849.86,Insurance,5,612.58,5.169512551,Need,7830.33,66.07951486,1
2019,8,1/08/2019,11394.65,Insurance,5,598.85,5.25553659,Need,7361.58,64.60558244,1
2019,7,1/07/2019,7783.18,Insurance,5,525.05,6.745957308,Need,8152.12,104.7402219,1
2019,6,3/06/2019,59160.3,Insurance,2,300.06,0.507198239,Need,6379.46,10.78334626,1
2019,5,1/05/2019,7072.1,Insurance,4,448.43,6.340832285,Need,5997.61,84.80663452,1
2019,4,1/04/2019,36185.65,Insurance,5,523.64,1.447092977,Need,6772.9,18.71708813,1
2019,3,1/03/2019,33860.19,Insurance,4,437.22,1.291250876,Need,8454.55,24.96899752,1
2019,2,1/02/2019,8229.01,Insurance,4,415.47,5.048845487,Need,5728.05,69.60800874,1
2019,1,2/01/2019,14402.89,Insurance,4,437.95,3.040709191,Need,4566.13,31.70287352,1
2018,12,3/12/2018,7558.02,Insurance,4,437.95,5.794507027,Need,6858.88,90.7496937,1
2018,11,1/11/2018,7125.5,Insurance,4,437.95,6.146235352,Need,5471.5,76.78759385,1
2018,10,1/10/2018,6801.5,Insurance,5,514.16,7.559508932,Need,5791.3,85.14739396,1
2018,9,3/09/2018,7771.21,Insurance,3,361.74,4.654873565,Need,6003.91,77.25836774,1
2018,8,30/08/2018,7667.51,Insurance,1,76.21,0.993934146,Need,-3511.19,-45.79309319,1
2020,7,16/07/2020,13218.79,Investments,1,200,1.512997786,Investment,200,1.512997786,20
2020,6,17/06/2020,8068.83,Investments,1,200,2.478674108,Investment,200,2.478674108,20
2020,5,16/05/2020,10760.91,Investments,1,200,1.858578875,Investment,200,1.858578875,20
2020,4,17/04/2020,24528.98,Investments,1,200,0.815362074,Investment,200,0.815362074,20
2020,3,16/03/2020,44410.36,Investments,1,200,0.45034537,Investment,200,0.45034537,20
2020,2,16/02/2020,8157.21,Investments,1,200,2.451818698,Investment,200,2.451818698,20
2020,1,16/01/2020,11570.92,Investments,1,200,1.728471029,Investment,200,1.728471029,20
2019,12,16/12/2019,9217.77,Investments,1,200,2.169722178,Investment,200,2.169722178,20
2019,11,16/11/2019,15395.47,Investments,1,200,1.299083432,Investment,200,1.299083432,20
2019,10,16/10/2019,9290.04,Investments,2,430,4.628613009,Investment,430,4.628613009,20
2019,9,16/09/2019,11849.86,Investments,2,430,3.628734854,Investment,430,3.628734854,20
2019,8,16/08/2019,11394.65,Investments,2,430,3.773700816,Investment,430,3.773700816,20
2019,7,1/07/2019,7783.18,Investments,3,10430,134.0069226,Investment,10430,134.0069226,20
2019,6,1/06/2019,59160.3,Investments,5,50430,85.24297544,Investment,50430,85.24297544,20
2019,5,1/05/2019,7072.1,Investments,3,60430,854.4845237,Investment,60430,854.4845237,20
2019,4,16/04/2019,36185.65,Investments,2,430,1.188316363,Investment,430,1.188316363,20
2019,3,14/03/2019,33860.19,Investments,3,25200.42,74.42492201,Investment,25200.42,74.42492201,20
2019,2,16/02/2019,8229.01,Investments,2,430,5.225415937,Investment,430,5.225415937,20
2019,1,16/01/2019,14402.89,Investments,2,500,3.471525506,Investment,500,3.471525506,20
2018,12,16/12/2018,7558.02,Investments,2,500,6.615489242,Investment,500,6.615489242,20
2018,11,16/11/2018,7125.5,Investments,2,500,7.017051435,Investment,500,7.017051435,20
2018,10,16/10/2018,6801.5,Investments,2,500,7.351319562,Investment,500,7.351319562,20
2018,9,16/09/2018,7771.21,Investments,1,500,6.434004486,Investment,500,6.434004486,20
2018,8,16/08/2018,7667.51,Investments,1,500,6.521021818,Investment,500,6.521021818,20
2020,7,6/07/2020,13218.79,Loan Pay,9,7480,56.58611719,Need,9364.7,70.84385182,33
