DATE,CLUSTER,CAT_TOT,VALUE
2019-06-01,Auto & transport,374.49,24
2019-07-01,Auto & transport,475.97,31
2019-08-01,Auto & transport,778.56,29
2019-09-01,Auto & transport,237.62,19
2019-10-01,Auto & transport,313.16,13
2019-11-01,Auto & transport,214.38,16
2019-12-01,Auto & transport,228.35,17
2020-01-01,Auto & transport,51.03,3
2020-02-01,Auto & transport,376.86,19
2020-03-01,Auto & transport,122.54,8
2020-05-01,Auto & transport,62.52,4
2020-06-01,Auto & transport,165.56,8
2020-07-01,Auto & transport,12.5,5
